TestPhase,VehicleVariant,TestLifeMiles,MilesBeforeSystemAbort,ExactFailure,Pct20,Pct40,Pct50
DT,ATGMV,987,987,1,987,987,987
DT,ATGMV,4672,3685,1,3685,3685,3685
DT,ATGMV,6955,2283,1,2283,2283,2283
DT,ATGMV,7063,108,1,108,108,108
DT,ATGMV,8091,1028,1,822.4,616.8,514
DT,ATGMV,8091,0,1,205.6,411.2,514
DT,ATGMV,10097,2006,1,2006,2006,2006
DT,ATGMV,13433,3336,1,3336,3336,3336
DT,ATGMV,13697,264,1,264,264,264
DT,ATGMV,15416,1719,1,1719,1719,1719
DT,ATGMV,104,104,1,104,104,104
DT,ATGMV,2607,2503,1,2503,2503,2503
DT,ATGMV,5356,2749,1,2749,2749,2749
DT,ATGMV,8599,3243,1,3243,3243,3243
DT,ATGMV,8807,208,1,208,208,208
DT,ATGMV,9209,402,1,402,402,402
DT,ATGMV,12769,3560,1,3560,3560,3560
DT,ATGMV,14670,1901,0,1901,1901,1901
DT,CV,1831,1831,1,1831,1831,1831
DT,CV,3096,1265,1,1265,1265,1265
DT,CV,3708,612,1,612,612,612
DT,CV,4538,830,1,830,830,830
DT,CV,5827,1289,1,1289,1289,1289
DT,CV,8472,2645,1,2645,2645,2645
DT,CV,12224,3752,0,3752,3752,3752
DT,CV,5202,5202,1,5202,5202,5202
DT,CV,6066,864,1,864,864,864
DT,CV,6749,683,1,683,683,683
DT,CV,10858,4109,1,4109,4109,4109
DT,CV,11867,1009,1,1009,1009,1009
DT,CV,11936,69,0,69,69,69
DT,ESV,207,207,1,207,207,207
DT,ESV,486,279,1,279,279,279
DT,ESV,1758,1272,1,1272,1272,1272
DT,ESV,3947,2189,1,2189,2189,2189
DT,ESV,4030,83,1,83,83,83
DT,ESV,4098,68,1,68,68,68
DT,ESV,4407,309,1,309,309,309
DT,ESV,4531,124,1,124,124,124
DT,ESV,4567,36,1,36,36,36
DT,ESV,4696,129,1,129,129,129
DT,ESV,5162,466,1,466,466,466
DT,ESV,6492,1330,1,1330,1330,1330
DT,ESV,7968,1476,1,1476,1476,1476
DT,ESV,8048,80,1,80,80,80
DT,ESV,8204,156,1,156,156,156
DT,ESV,8834,630,1,630,630,630
DT,ESV,10562,1728,1,1728,1728,1728
DT,ESV,10993.2,431.2,1,431.2,431.2,431.2
DT,ESV,10993.4,0.2,1,0.2,0.2,0.2
DT,ESV,12082,1088.6,0,1088.6,1088.6,1088.6
DT,ESV,1471,1471,1,1471,1471,1471
DT,ESV,1530,59,1,59,59,59
